bin,coef,ci_lower,ci_upper,model,outcome
1,0,0,0,1,PI1
2,1.4633279,.34939793,2.5772579,1,PI1
3,.52518517,-.29714072,1.3475111,1,PI1
4,.65337133,-.0074283318,1.314171,1,PI1
5,1.1416745,.17397656,2.1093726,1,PI1
1,0,0,0,2,PI1
2,.026913509,-.37713337,.43096039,2,PI1
3,.22477676,-.26479992,.71435344,2,PI1
4,.93306136,.26558095,1.6005418,2,PI1
5,1.5723696,.75022215,2.3945169,2,PI1
1,0,0,0,3,PI1
2,.082220837,-.42586666,.59030831,3,PI1
3,.34333488,-.19511615,.88178587,3,PI1
4,1.0807587,.37323895,1.7882785,3,PI1
5,1.7067291,.8208192,2.5926387,3,PI1
1,0,0,0,4,PI1
2,-.062390592,-.49696279,.37218162,4,PI1
3,.1857145,-.25449139,.62592036,4,PI1
4,.6197443,.03169034,1.2077984,4,PI1
5,1.1411903,.4253124,1.8570681,4,PI1
1,0,0,0,5,PI1
2,-.058637943,-.49196339,.37468752,5,PI1
3,.18654683,-.2512643,.62435794,5,PI1
4,.6457783,.044533134,1.2470235,5,PI1
5,1.180398,.43456566,1.9262304,5,PI1
